condition,run,source_file,input_definition,segment,sample_count,MAE_mA,mean_error_mA,median_error_mA,positive_error_ratio
uart_256B_100ms,8,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run8.csv,occupancy,inter_burst,1555514,4.888062502173394,4.882540265185491,5.096945999999839,0.9991057618253516
uart_256B_100ms,8,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run8.csv,pulse,burst,444486,20.144075471678008,20.143371345166315,20.07345499999966,0.999471299433503
uart_256B_100ms,8,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run8.csv,pulse,final_idle,1000001,1.1904806030054265,0.5779805132576586,0.610546000000177,0.583981416018584
uart_256B_100ms,8,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run8.csv,pulse,idle_all,2000001,1.164546361877834,0.4798722190049774,0.6105460000000065,0.5523892238053881
uart_256B_100ms,8,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run8.csv,pulse,initial_idle,1000000,1.1386120948160001,0.38176382664400194,0.6105460000000065,0.520797
uart_256B_100ms,8,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run8.csv,pulse,inter_burst,1555514,1.2594407513197716,0.524505619599347,0.610546000000177,0.538081945903412
uart_256B_100ms,9,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run9.csv,occupancy,burst,444448,5.126993488763572,5.122483284202546,5.096945999999839,0.9992575059399524
uart_256B_100ms,9,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run9.csv,occupancy,final_idle,1000000,1.1088897887674045,0.3136189030878447,-0.11534499999982728,0.498845
uart_256B_100ms,9,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run9.csv,occupancy,idle_all,1999999,1.1891616609935336,0.5414649125573794,0.6105460000000065,0.5706577853288927
uart_256B_100ms,9,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run9.csv,occupancy,initial_idle,999999,1.2694336134916147,0.7693111498731517,0.6105460000000065,0.6424706424706425
uart_256B_100ms,9,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run9.csv,occupancy,inter_burst,1555553,5.139502021611441,5.134463882980356,5.096945999999839,0.999207355840656
uart_256B_100ms,9,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run9.csv,pulse,burst,444448,20.376553478245434,20.376119321292148,20.799345852328166,0.9996175030599755
uart_256B_100ms,9,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run9.csv,pulse,final_idle,1000000,1.1088105164579998,0.3133970429701724,-0.11534499999982728,0.498774
uart_256B_100ms,9,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run9.csv,pulse,idle_all,1999999,1.189122024819013,0.5413539824430782,0.6105460000000065,0.5706222853111427
uart_256B_100ms,9,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run9.csv,pulse,initial_idle,999999,1.2694336134916147,0.7693111498731517,0.6105460000000065,0.6424706424706425
